#|ItemCodeFG|ItemNameFG|ItemCodeRM|ItemNameRM|Supplier|Bentuk|Material|Warna Dasar|Warna Cetakan|Panjang|Lebar|Tinggi|Tebal|Tinggi Leher|Diam Dalam Mulut|Diam Luar Mulut|Diam Dalam|Diam Luar|Panjang Selang|Berat|Volume|Barcode|POM NA|Tipe|Group
61|FGBMA2101|Camellia Body Mist Japanese Series Kirei (Orange) 100ml|RMLCT0285|Botol Camellia Japanese Series 100ml|PRISKILA INJECTION|Silinder|PET|Transparant Tidak Bewarna|||144.80 - 145.40|1.30 - 1.90||14.40 - 14.80|33.00 - 33.60||||13.90 - 14.10|98 - 102||||
62|FGBMA2101|Camellia Body Mist Japanese Series Kirei (Orange) 100ml|RMLCL0339|Tutup Camellia Japanese Series Kirei (Orange) 100ml|PRISKILA INJECTION|Silinder|PP|Orange|||49.20 - 49.80|1.10 - 1.30||||30.30 - 30.90|32.40 - 33.00||5.40 - 6.00|||||
63|FGBMA2101|Camellia Body Mist Japanese Series Kirei (Orange) 100ml|RMFCL0160|20mm screw Mist Pump CLEAR (146mm FBOG)|YUYAO YINHE ARTICLES CO., LTD|Silinder|PET|Transparant Tidak Bewarna|||1.40 - 1.50||||20.40 - 20.50|23.25 - 23.35|145.00 - 147.00|4.85 - 4.95|||||
64|FGBMA2102|Camellia Body Mist Japanese Series Asuka (Pink) 100ml|RMLPC1169|Partisi Inner Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
65|FGBMA2102|Camellia Body Mist Japanese Series Asuka (Pink) 100ml|RMLPC1168|Carton INNER Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|148 - 153|110 - 114|178 - 185||||||||63.00 - 69.00|||||
66|FGBMA2102|Camellia Body Mist Japanese Series Asuka (Pink) 100ml|RMLPC1166|Carton BOX Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|358-364|310-315|188-195||||||||352.00-389.00|||||
67|FGBMA2102|Camellia Body Mist Japanese Series Asuka (Pink) 100ml|RMLPC1127|Sticker Camellia Body Mist Japanese Series Asuka (Pink) 100ml|SETIAJAYA ANUGRAH PRATAMA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|148 - 153|110 - 114|178 - 185||||||||63.00 - 69.00|||||
68|FGBMA2102|Camellia Body Mist Japanese Series Asuka (Pink) 100ml|RMLCT0285|Botol Camellia Japanese Series 100ml|PRISKILA INJECTION|Silinder|PET|Transparant Tidak Bewarna|||144.80 - 145.40|1.30 - 1.90||14.40 - 14.80|33.00 - 33.60||||13.90 - 14.10|98 - 102||||
69|FGBMA2102|Camellia Body Mist Japanese Series Asuka (Pink) 100ml|RMLCL0340|Tutup Camellia Japanese Series Asuka (Pink) 100ml|PRISKILA INJECTION|Silinder|PP|Pink|||49.20 - 49.80|1.10 - 1.30||||30.30 - 30.90|32.40 - 33.00||5.40 - 6.00|||||
70|FGBMA2102|Camellia Body Mist Japanese Series Asuka (Pink) 100ml|RMFCL0160|20mm screw Mist Pump CLEAR (146mm FBOG)|YUYAO YINHE ARTICLES CO., LTD|Silinder|PET|Transparant Tidak Bewarna|||1.40 - 1.50||||20.40 - 20.50|23.25 - 23.35|145.00 - 147.00|4.85 - 4.95|||||
71|FGBMA2103|Camellia Body Mist Japanese Series Keiko (Blue) 100ml|RMLPC1169|Partisi Inner Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
72|FGBMA2103|Camellia Body Mist Japanese Series Keiko (Blue) 100ml|RMLPC1168|Carton INNER Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|148 - 153|110 - 114|178 - 185||||||||63.00 - 69.00|||||
73|FGBMA2103|Camellia Body Mist Japanese Series Keiko (Blue) 100ml|RMLPC1166|Carton BOX Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|358-364|310-315|188-195||||||||352.00-389.00|||||
74|FGBMA2103|Camellia Body Mist Japanese Series Keiko (Blue) 100ml|RMLPC1128|Sticker Camellia Body Mist Japanese Series Keiko (Blue) 100ml|SETIAJAYA ANUGRAH PRATAMA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|148 - 153|110 - 114|178 - 185||||||||63.00 - 69.00|||||
75|FGBMA2103|Camellia Body Mist Japanese Series Keiko (Blue) 100ml|RMLCT0285|Botol Camellia Japanese Series 100ml|PRISKILA INJECTION|Silinder|PET|Transparant Tidak Bewarna|||144.80 - 145.40|1.30 - 1.90||14.40 - 14.80|33.00 - 33.60||||13.90 - 14.10|98 - 102||||
76|FGBMA2103|Camellia Body Mist Japanese Series Keiko (Blue) 100ml|RMLCL0341|Tutup Camellia Japanese Series Keiko (Blue) 100ml|PRISKILA INJECTION|Silinder|PP|Biru|||49.20 - 49.80|1.10 - 1.30||||30.30 - 30.90|32.40 - 33.00||5.40 - 6.00|||||
77|FGBMA2103|Camellia Body Mist Japanese Series Keiko (Blue) 100ml|RMFCL0160|20mm screw Mist Pump CLEAR (146mm FBOG)|YUYAO YINHE ARTICLES CO., LTD|Silinder|PET|Transparant Tidak Bewarna|||1.40 - 1.50||||20.40 - 20.50|23.25 - 23.35|145.00 - 147.00|4.85 - 4.95|||||
